rank,userName,proxyWallet,xUsername,weather_pnl_usd,weather_volume_usd,pnl_over_volume_pct,classification,confidence,active_positions,active_weather_positions,active_nonweather_positions,recent_activity,recent_weather_activity,recent_nonweather_activity,sample_weather_titles,sample_nonweather_titles,profile_url
1,gopfan2,0xf2f6af4f27ec2dcf4072095ab804016e14cd5817,r_gopfan,343576.69559603644,4571379.83341,7.516,profitable in weather but currently/recently generalist,low,100,1,34,200,0,39,Rangers vs. Hurricanes,Will Congo DR win the 2026 FIFA World Cup? | Will Senegal win the 2026 FIFA World Cup? | Will Kamala Harris win the 2028 US Presidential Election? | Will Brad Lander win the 2025 NYC mayoral election? | Will Trump nominate no one before 2027?,https://polymarket.com/profile/0xf2f6af4f27ec2dcf4072095ab804016e14cd5817
2,aenews2,0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1,aenews,277050.185099862,9972308.555524996,2.778,not enough public recent data to classify,low,30,0,13,200,0,102,,Will the U.S. invade Iran before 2027? | Will Trump agree to Iranian enrichment of uranium in April? | Trump announces end of military operations against Iran by April 30th? | US-Iran nuclear deal by April 30? | Will Graham Platner be the Democratic nominee for Senate in Maine?,https://polymarket.com/profile/0x44c1dfe43260c94ed4f1d00de2e1f80fb113ebc1
3,ColdMath,0x594edb9112f526fa6a80b8f858a6379c8a2c1c11,,121335.48080303265,8835337.509752,1.373,weather specialist / weather-heavy,medium,100,97,0,200,192,0,Will the highest temperature in Cape Town be 16°C on April 20? | Will the highest temperature in Ankara be 10°C or higher on March 1? | Will the highest temperature in Wellington be 21°C or higher on February 28? | Will the highest temperature in London be 11°C on April 14? | Will the highest temperature in Ankara be 13°C or higher on March 21? | Will the highest temperature in Lucknow be 35°C on March 5? | Will the highest temperature in Ankara be 7°C on February 26? | Will the highest temperature in Ankara be 8°C or higher on February 26?,,https://polymarket.com/profile/0x594edb9112f526fa6a80b8f858a6379c8a2c1c11
4,gopfan,0x6af75d4e4aaf700450efbac3708cce1665810ff1,,118426.46718552645,739900.9826490001,16.006,weather-heavy mixed,low,0,0,0,200,31,83,Will there be more than 25 named storms during Atlantic Hurricane Season? | Will Ukraine hold Kursk through October 31? | August temperature increase greater than 1.29°C? | August temperature increase by between 1.25-1.29°C? | August temperature increase by between 1.20-1.24°C? | Will Ukraine hold Kursk through Aug 31? | August temperature increase greater than 1.29°C? | August temperature increase by between 1.20-1.24°C?,Will Lee Jun-seok be elected the next president of South Korea? | Will Kanye West win the 2024 US Presidential Election? | Will Lee Jun-seok be elected the next president of South Korea? | Will a Democrat win Nevada US Senate Election? | Will a Republican win Montana US Senate Election?,https://polymarket.com/profile/0x6af75d4e4aaf700450efbac3708cce1665810ff1
5,bama124,0xe5c8026239919339b988fdb150a7ef4ea196d3e7,,86600.54794799998,410556.0700869999,21.093,profitable in weather but currently/recently generalist,low,1,0,0,200,4,66,August temperature increase by between 1.25-1.29°C? | August temperature increase by between 1.20-1.24°C? | August temperature increase greater than 1.29°C? | August temperature increase by between 1.25-1.29°C?,Fed emergency rate cut in 2024? | Will Kamala Harris win the 2024 US Presidential Election? | No Ethereum all time high in 2024? | No Ethereum all time high in 2024? | No Ethereum all time high in 2024?,https://polymarket.com/profile/0xe5c8026239919339b988fdb150a7ef4ea196d3e7
6,Hans323,0x0f37cb80dee49d55b5f6d9e595d52591d6371410,Hans323,80872.367738586,6971546.614699001,1.16,weather-heavy mixed,low,4,0,2,200,55,64,Will the highest temperature in New York City be between 50-51°F on April 21? | Will the highest temperature in New York City be between 50-51°F on April 21? | Will the highest temperature in Manila be 33°C on April 15? | Will the highest temperature in Guangzhou be 30°C or below on April 15? | Will the highest temperature in Manila be 34°C on April 15? | Will the highest temperature in Manila be 34°C on April 15? | Will the highest temperature in Manila be 34°C on April 15? | Will the highest temperature in Manila be 34°C on April 15?,Will Gavin Newsom win the 2028 Democratic presidential nomination? | Will Gavin Newsom win the 2028 Democratic presidential nomination? | Will Gavin Newsom win the 2028 Democratic presidential nomination? | Will Gavin Newsom win the 2028 Democratic presidential nomination? | Will Gavin Newsom win the 2028 Democratic presidential nomination?,https://polymarket.com/profile/0x0f37cb80dee49d55b5f6d9e595d52591d6371410
7,Handsanitizer23,0x05e70727a2e2dcd079baa2ef1c0b88af06bb9641,,71174.40067137999,953274.808,7.466,weather specialist / weather-heavy,medium,21,15,3,200,151,39,Will the highest temperature in Guangzhou be 31°C on April 16? | Will the highest temperature in Shenzhen be 28°C on March 22? | Will the highest temperature in Lucknow be 35°C on March 6? | Will the highest temperature in Lucknow be 36°C or below on March 9? | Will the highest temperature in Seoul be 4°C on March 8? | Will the highest temperature in Dallas be between 72-73°F on March 4? | Will the highest temperature in London be 16°C on March 3? | Will the highest temperature in Dallas be between 84-85°F on March 19?,"Will Bitcoin dip to $68,000 on April 17? | Will the price of Bitcoin be between $64,000 and $66,000 on March 1? | Will Trump say ""Winter Olympic"" or ""Winter Olympics"" this week? (February 22) | Will Bitcoin dip to $68,000 on April 17? | Will Bitcoin dip to $68,000 on April 17?",https://polymarket.com/profile/0x05e70727a2e2dcd079baa2ef1c0b88af06bb9641
8,automatedAItradingbot,0xd8f8c13644ea84d62e1ec88c5d1215e436eb0f11,,64617.332131685274,2362463.7227940005,2.735,weather specialist / weather-heavy,medium,35,18,3,200,119,3,Will the highest temperature in Seoul be 22°C on April 23? | Will the highest temperature in Los Angeles be between 70-71°F on April 19? | Will the highest temperature in Seoul be 17°C on April 17? | Will the highest temperature in Chicago be between 48-49°F on April 19? | Will the highest temperature in Sao Paulo be 28°C on April 19? | Will the highest temperature in Chicago be between 72-73°F on April 15? | Will the highest temperature in Lagos be 32°C on April 19? | Will the highest temperature in San Francisco be between 62-63°F on April 15?,Indian Premier League: Royal Challengers Bangalore vs Gujarat Titans - Who wins the toss? | Indian Premier League: Royal Challengers Bangalore vs Gujarat Titans - Completed match? | Will Jack Della Maddalena be ranked first in the UFC Pound-For-Pound Rankings at the end of 2026? | Will Ty Simpson be drafted in the top 5 picks of the 2026 NFL Draft? | Will annual inflation increase by 3.8% in April?,https://polymarket.com/profile/0xd8f8c13644ea84d62e1ec88c5d1215e436eb0f11
9,BeefSlayer,0x331bf91c132af9d921e1908ca0979363fc47193f,BeefSlayer_,63460.268900016934,1418954.650763,4.472,weather specialist / weather-heavy,medium,5,4,1,200,198,1,Will the highest temperature in Seoul be 20°C on April 25? | Will the highest temperature in Atlanta be 71°F or below on April 25? | Will the highest temperature in Miami be between 86-87°F on April 25? | Will the highest temperature in New York City be between 62-63°F on April 24? | Will the highest temperature in Atlanta be 71°F or below on April 25? | Will the highest temperature in Miami be between 86-87°F on April 25? | Will the highest temperature in Atlanta be 71°F or below on April 25? | Will the highest temperature in Atlanta be 71°F or below on April 25?,Will Shai Gilgeous-Alexander win the 2025–2026 NBA MVP? | Will Cade Cunningham win the 2025–2026 NBA MVP?,https://polymarket.com/profile/0x331bf91c132af9d921e1908ca0979363fc47193f
10,BigMike11,0xecdbd79566a25693b9971c48d7de84bc05f7da79,,62776.720778682255,850755.648137,7.379,weather-heavy mixed,low,1,0,1,200,6,72,Russia x Ukraine ceasefire in 2025? | Russia x Ukraine ceasefire in 2025? | Russia x Ukraine ceasefire in 2025? | Russia x Ukraine ceasefire in 2025? | Russia x Ukraine ceasefire by August 31? | Russia x Ukraine ceasefire by August 31?,Will the U.S. invade Iran before 2027? | Will the U.S. invade Iran before 2027? | Will the U.S. invade Iran before 2027? | US forces enter Iran by April 30? | US forces enter Iran by April 30?,https://polymarket.com/profile/0xecdbd79566a25693b9971c48d7de84bc05f7da79
