rank,userName,proxyWallet,weather_pnl_usd,weather_volume_usd,pnl_volume_pct,classification,active_weather_positions,active_nonweather_positions,recent_weather_activity,recent_nonweather_activity,weather_signal_count,xUsername,profile_url,sample_weather_titles,sample_nonweather_titles,confidence
3,ColdMath,0x594edb9112f526fa6a80b8f858a6379c8a2c1c11,121302.21,0,,weather specialist / weather-heavy,97,0,192,0,289,,https://polymarket.com/profile/0x594edb9112f526fa6a80b8f858a6379c8a2c1c11,Will the highest temperature in Cape Town be 16°C on April 20? highest-temperature-in-cape-town-on-april-20-2026-16c highest-temperature-in-cape-town-on-april-20-2026  | Will the highest temperature in Ankara be 10°C or higher on March 1? highest-temperature-in-ankara-on-march-1-2026-10corhigher highest-temperature-in-ankara-on-march-1-2026  | Will the highest temperature in Wellington be 21°C or higher on February 28? highest-temperature-in-wellington-on-february-28-2026-21corhigher highest-temperature-in-wellington-on- | Will the highest temperature in London be 11°C on April 14? highest-temperature-in-london-on-april-14-2026-11c highest-temperature-in-london-on-april-14-2026  | Will the highest temperature in Ankara be 13°C or higher on March 21? highest-temperature-in-ankara-on-march-21-2026-13corhigher highest-temperature-in-ankara-on-march-21-2026  | Will the highest temperature in Lucknow be 35°C on March 5? highest-temperature-in-lucknow-on-march-5-2026-35c highest-temperature-in-lucknow-on-march-5-2026  | Will the highest temperature in Ankara be 7°C on February 26? highest-temperature-in-ankara-on-february-26-2026-7c highest-temperature-in-ankara-on-february-26-2026  | Will the highest temperature in Ankara be 8°C or higher on February 26? highest-temperature-in-ankara-on-february-26-2026-8corhigher highest-temperature-in-ankara-on-february-26-20,,live_top80_sample
4,gopfan,0x6af75d4e4aaf700450efbac3708cce1665810ff1,118426.47,0,,weather-heavy mixed,0,0,31,0,31,,https://polymarket.com/profile/0x6af75d4e4aaf700450efbac3708cce1665810ff1,Will there be more than 25 named storms during Atlantic Hurricane Season? will-there-be-more-than-25-named-storms-during-atlantic-hurricane-season how-many-named-storms-during-atla | Will Ukraine hold Kursk through October 31? will-ukraine-hold-kursk-through-october-31 will-ukraine-hold-kursk-through-october-31  | August temperature increase greater than 1.29°C? august-temperature-increase-greater-than-1pt29c august-2024-temperature-increase-c  | August temperature increase by between 1.25-1.29°C? august-temperature-increase-by-between-1pt25-1pt29c august-2024-temperature-increase-c  | August temperature increase by between 1.20-1.24°C? august-temperature-increase-by-between-1pt20-1pt24c august-2024-temperature-increase-c  | Will Ukraine hold Kursk through Aug 31? will-ukraine-hold-russian-territory-in-kursk-through-aug-31 will-ukraine-hold-russian-territory-in-kursk-through-aug-31  | August temperature increase greater than 1.29°C? august-temperature-increase-greater-than-1pt29c august-2024-temperature-increase-c  | August temperature increase by between 1.20-1.24°C? august-temperature-increase-by-between-1pt20-1pt24c august-2024-temperature-increase-c ,,live_top80_sample
6,Hans323,0x0f37cb80dee49d55b5f6d9e595d52591d6371410,80872.37,0,,weather specialist / weather-heavy,0,0,55,0,55,,https://polymarket.com/profile/0x0f37cb80dee49d55b5f6d9e595d52591d6371410,Will the highest temperature in New York City be between 50-51°F on April 21? highest-temperature-in-nyc-on-april-21-2026-50-51f highest-temperature-in-nyc-on-april-21-2026  | Will the highest temperature in New York City be between 50-51°F on April 21? highest-temperature-in-nyc-on-april-21-2026-50-51f highest-temperature-in-nyc-on-april-21-2026  | Will the highest temperature in Manila be 33°C on April 15? highest-temperature-in-manila-on-april-15-2026-33c highest-temperature-in-manila-on-april-15-2026  | Will the highest temperature in Guangzhou be 30°C or below on April 15? highest-temperature-in-guangzhou-on-april-15-2026-30corbelow highest-temperature-in-guangzhou-on-april-15-20 | Will the highest temperature in Manila be 34°C on April 15? highest-temperature-in-manila-on-april-15-2026-34c highest-temperature-in-manila-on-april-15-2026  | Will the highest temperature in Manila be 34°C on April 15? highest-temperature-in-manila-on-april-15-2026-34c highest-temperature-in-manila-on-april-15-2026  | Will the highest temperature in Manila be 34°C on April 15? highest-temperature-in-manila-on-april-15-2026-34c highest-temperature-in-manila-on-april-15-2026  | Will the highest temperature in Manila be 34°C on April 15? highest-temperature-in-manila-on-april-15-2026-34c highest-temperature-in-manila-on-april-15-2026 ,,live_top80_sample
7,Handsanitizer23,0x05e70727a2e2dcd079baa2ef1c0b88af06bb9641,71174.4,0,,weather specialist / weather-heavy,15,0,151,0,166,,https://polymarket.com/profile/0x05e70727a2e2dcd079baa2ef1c0b88af06bb9641,Will the highest temperature in Guangzhou be 31°C on April 16? highest-temperature-in-guangzhou-on-april-16-2026-31c highest-temperature-in-guangzhou-on-april-16-2026  | Will the highest temperature in Shenzhen be 28°C on March 22? highest-temperature-in-shenzhen-on-march-22-2026-28c highest-temperature-in-shenzhen-on-march-22-2026  | Will the highest temperature in Lucknow be 35°C on March 6? highest-temperature-in-lucknow-on-march-6-2026-35c highest-temperature-in-lucknow-on-march-6-2026  | Will the highest temperature in Lucknow be 36°C or below on March 9? highest-temperature-in-lucknow-on-march-9-2026-36corbelow highest-temperature-in-lucknow-on-march-9-2026  | Will the highest temperature in Seoul be 4°C on March 8? highest-temperature-in-seoul-on-march-8-2026-4c highest-temperature-in-seoul-on-march-8-2026  | Will the highest temperature in Dallas be between 72-73°F on March 4? highest-temperature-in-dallas-on-march-4-2026-72-73f highest-temperature-in-dallas-on-march-4-2026  | Will the highest temperature in London be 16°C on March 3? highest-temperature-in-london-on-march-3-2026-16c highest-temperature-in-london-on-march-3-2026  | Will the highest temperature in Dallas be between 84-85°F on March 19? highest-temperature-in-dallas-on-march-19-2026-84-85f highest-temperature-in-dallas-on-march-19-2026 ,,live_top80_sample
8,automatedAItradingbot,0xd8f8c13644ea84d62e1ec88c5d1215e436eb0f11,64617.53,0,,weather specialist / weather-heavy,19,0,129,0,148,,https://polymarket.com/profile/0xd8f8c13644ea84d62e1ec88c5d1215e436eb0f11,Will the highest temperature in Seoul be 22°C on April 23? highest-temperature-in-seoul-on-april-23-2026-22c highest-temperature-in-seoul-on-april-23-2026  | Will the highest temperature in Los Angeles be between 70-71°F on April 19? highest-temperature-in-los-angeles-on-april-19-2026-70-71f highest-temperature-in-los-angeles-on-april-1 | Will the highest temperature in Seoul be 17°C on April 17? highest-temperature-in-seoul-on-april-17-2026-17c highest-temperature-in-seoul-on-april-17-2026  | Will the highest temperature in Chicago be between 48-49°F on April 19? highest-temperature-in-chicago-on-april-19-2026-48-49f highest-temperature-in-chicago-on-april-19-2026  | Will the highest temperature in Sao Paulo be 28°C on April 19? highest-temperature-in-sao-paulo-on-april-19-2026-28c highest-temperature-in-sao-paulo-on-april-19-2026  | Will the highest temperature in Chicago be between 72-73°F on April 15? highest-temperature-in-chicago-on-april-15-2026-72-73f highest-temperature-in-chicago-on-april-15-2026  | Will the highest temperature in Lagos be 32°C on April 19? highest-temperature-in-lagos-on-april-19-2026-32c highest-temperature-in-lagos-on-april-19-2026  | Will the highest temperature in San Francisco be between 62-63°F on April 15? highest-temperature-in-san-francisco-on-april-15-2026-62-63f highest-temperature-in-san-francisco-on-a,,live_top80_sample
9,BeefSlayer,0x331bf91c132af9d921e1908ca0979363fc47193f,63444.05,0,,weather specialist / weather-heavy,4,0,198,0,202,,https://polymarket.com/profile/0x331bf91c132af9d921e1908ca0979363fc47193f,Will the highest temperature in Seoul be 20°C on April 25? highest-temperature-in-seoul-on-april-25-2026-20c highest-temperature-in-seoul-on-april-25-2026  | Will the highest temperature in Atlanta be 71°F or below on April 25? highest-temperature-in-atlanta-on-april-25-2026-71forbelow highest-temperature-in-atlanta-on-april-25-2026  | Will the highest temperature in Miami be between 86-87°F on April 25? highest-temperature-in-miami-on-april-25-2026-86-87f highest-temperature-in-miami-on-april-25-2026  | Will the highest temperature in New York City be between 62-63°F on April 24? highest-temperature-in-nyc-on-april-24-2026-62-63f highest-temperature-in-nyc-on-april-24-2026  | Will the highest temperature in Miami be between 86-87°F on April 25? highest-temperature-in-miami-on-april-25-2026-86-87f highest-temperature-in-miami-on-april-25-2026  | Will the highest temperature in Atlanta be 71°F or below on April 25? highest-temperature-in-atlanta-on-april-25-2026-71forbelow highest-temperature-in-atlanta-on-april-25-2026  | Will the highest temperature in Atlanta be 71°F or below on April 25? highest-temperature-in-atlanta-on-april-25-2026-71forbelow highest-temperature-in-atlanta-on-april-25-2026  | Will the highest temperature in Atlanta be between 86-87°F on April 22? highest-temperature-in-atlanta-on-april-22-2026-86-87f highest-temperature-in-atlanta-on-april-22-2026 ,,live_top80_sample
10,BigMike11,0xecdbd79566a25693b9971c48d7de84bc05f7da79,62776.72,0,,weather-heavy mixed,0,0,6,0,6,,https://polymarket.com/profile/0xecdbd79566a25693b9971c48d7de84bc05f7da79,Russia x Ukraine ceasefire in 2025? russia-x-ukraine-ceasefire-in-2025 russia-x-ukraine-ceasefire-in-2025  | Russia x Ukraine ceasefire in 2025? russia-x-ukraine-ceasefire-in-2025 russia-x-ukraine-ceasefire-in-2025  | Russia x Ukraine ceasefire in 2025? russia-x-ukraine-ceasefire-in-2025 russia-x-ukraine-ceasefire-in-2025  | Russia x Ukraine ceasefire in 2025? russia-x-ukraine-ceasefire-in-2025 russia-x-ukraine-ceasefire-in-2025  | Russia x Ukraine ceasefire by August 31? russia-x-ukraine-ceasefire-by-august-31 russia-x-ukraine-ceasefire-by-august-31  | Russia x Ukraine ceasefire by August 31? russia-x-ukraine-ceasefire-by-august-31 russia-x-ukraine-ceasefire-by-august-31 ,,live_top80_sample
11,Kapii,0xb74711992caf6d04fa55eecc46b8efc95311b050,57190.13,0,,weather specialist / weather-heavy,4,0,1,0,5,,https://polymarket.com/profile/0xb74711992caf6d04fa55eecc46b8efc95311b050,Will global temperature increase by between 0.90–0.94ºC in July 2025? will-global-temperature-increase-by-between-0pt900pt94c-in-july-2025 july-2025-temperature-increase-c-513  | Will global temperature increase by between 0.95–0.99ºC in July 2025? will-global-temperature-increase-by-between-0pt950pt99c-in-july-2025 july-2025-temperature-increase-c-513  | Will global temperature increase by between 1.00–1.04ºC in July 2025? will-global-temperature-increase-by-between-1pt001pt04c-in-july-2025 july-2025-temperature-increase-c-513  | Will global temperature increase by more than 1.19ºC in October 2025 (LS)? will-global-temperature-increase-by-more-than-1pt19c-in-october-2025 october-2025-temperature-increase-c  | Russia x Ukraine ceasefire in 2025? russia-x-ukraine-ceasefire-in-2025 russia-x-ukraine-ceasefire-in-2025 ,,live_top80_sample
12,WeatherTraderBot,0xacc8e9dcabf9d65a5c78e3bec6941ed53a2b7d08,57179.74,0,,weather specialist / weather-heavy,2,0,71,0,73,,https://polymarket.com/profile/0xacc8e9dcabf9d65a5c78e3bec6941ed53a2b7d08,Will the highest temperature in London be 17°C on March 24? highest-temperature-in-london-on-march-24-2026-17c highest-temperature-in-london-on-march-24-2026  | Will the highest temperature in London be 16°C on March 24? highest-temperature-in-london-on-march-24-2026-16c highest-temperature-in-london-on-march-24-2026  | Will the highest temperature in London be 17°C on March 24? highest-temperature-in-london-on-march-24-2026-17c highest-temperature-in-london-on-march-24-2026  | Will the highest temperature in London be 17°C on March 24? highest-temperature-in-london-on-march-24-2026-17c highest-temperature-in-london-on-march-24-2026  | Will the highest temperature in London be 17°C on March 24? highest-temperature-in-london-on-march-24-2026-17c highest-temperature-in-london-on-march-24-2026  | Will the highest temperature in London be 17°C on March 24? highest-temperature-in-london-on-march-24-2026-17c highest-temperature-in-london-on-march-24-2026  | Will the highest temperature in London be 17°C on March 24? highest-temperature-in-london-on-march-24-2026-17c highest-temperature-in-london-on-march-24-2026  | Will the highest temperature in London be 17°C on March 24? highest-temperature-in-london-on-march-24-2026-17c highest-temperature-in-london-on-march-24-2026 ,,live_top80_sample
13,HondaCivic,0x15ceffed7bf820cd2d90f90ea24ae9909f5cd5fa,55905.36,0,,weather specialist / weather-heavy,2,0,200,0,202,,https://polymarket.com/profile/0x15ceffed7bf820cd2d90f90ea24ae9909f5cd5fa,Will the highest temperature in Ankara be 17°C on April 25? highest-temperature-in-ankara-on-april-25-2026-17c highest-temperature-in-ankara-on-april-25-2026  | Will the highest temperature in Ankara be 16°C on April 25? highest-temperature-in-ankara-on-april-25-2026-16c highest-temperature-in-ankara-on-april-25-2026  | Will the highest temperature in Warsaw be 16°C on April 25? highest-temperature-in-warsaw-on-april-25-2026-16c highest-temperature-in-warsaw-on-april-25-2026  | Will the highest temperature in Ankara be 15°C on April 25? highest-temperature-in-ankara-on-april-25-2026-15c highest-temperature-in-ankara-on-april-25-2026  | Will the highest temperature in Ankara be 17°C on April 25? highest-temperature-in-ankara-on-april-25-2026-17c highest-temperature-in-ankara-on-april-25-2026  | Will the highest temperature in Moscow be 8°C on April 25? highest-temperature-in-moscow-on-april-25-2026-8c highest-temperature-in-moscow-on-april-25-2026  | Will the highest temperature in Amsterdam be 13°C on April 25? highest-temperature-in-amsterdam-on-april-25-2026-13c highest-temperature-in-amsterdam-on-april-25-2026  | Will the highest temperature in Ankara be 16°C on April 25? highest-temperature-in-ankara-on-april-25-2026-16c highest-temperature-in-ankara-on-april-25-2026 ,,live_top80_sample
