city,date,station,station_forecast_max_c,side,temp,unit,kind,station_prob,ask,fill20_avg,edge,near_original_candidate,accounts,consensus_side,consensus_top_temp,recommendation,blockers,question,url
Seoul,April 26,RKSI,18,NO,20,C,higher,0.858,0.28,0.2934,0.578,False,10,NO,17°C,paper_micro_strict_limit,,Will the highest temperature in Seoul be 20°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Munich,April 26,EDDM,20,YES,21,C,higher,0.3605,0.029,0.0346,0.3315,False,11,NO,16°C,paper_micro_strict_limit,,Will the highest temperature in Munich be 21°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
Seoul,April 26,RKSI,18,YES,18,C,exact,0.279,0.067,0.0825,0.212,False,10,NO,17°C,paper_micro_strict_limit,,Will the highest temperature in Seoul be 18°C on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Seoul,April 26,RKSI,18,YES,17,C,exact,0.2185,0.011,0.0269,0.2075,False,10,NO,17°C,paper_micro_strict_limit,,Will the highest temperature in Seoul be 17°C on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026
Seoul,April 27,RKSI,16,YES,15,C,exact,0.2185,0.029,0.0514,0.1895,False,6,NO,15°C,paper_micro_strict_limit,,Will the highest temperature in Seoul be 15°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
Munich,April 26,EDDM,20,NO,18,C,exact,0.8951,0.71,0.71,0.1851,True,11,NO,16°C,paper_micro_strict_limit,,Will the highest temperature in Munich be 18°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
London,April 26,EGLC,18,NO,18,C,exact,0.721,0.54,0.555,0.181,True,11,NO,20°C,paper_micro_strict_limit,,Will the highest temperature in London be 18°C on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026
Shanghai,April 26,ZSPD,22,YES,21,C,exact,0.2185,0.047,0.0713,0.1715,False,10,NO,21°C,paper_micro_strict_limit,,Will the highest temperature in Shanghai be 21°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Beijing,April 26,ZBAA,26,NO,25,C,exact,0.7815,0.61,0.61,0.1715,False,8,NO,22°C,paper_micro_strict_limit,,Will the highest temperature in Beijing be 25°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
Seoul,April 27,RKSI,16,NO,19,C,exact,0.9691,0.82,0.82,0.1491,False,6,NO,15°C,paper_micro_strict_limit,,Will the highest temperature in Seoul be 19°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
Shanghai,April 26,ZSPD,22,NO,23,C,exact,0.7815,0.64,0.64,0.1415,False,10,NO,21°C,paper_micro_strict_limit,,Will the highest temperature in Shanghai be 23°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026
Ankara,April 26,LTAC,21,YES,22,C,exact,0.2185,0.079,0.0799,0.1395,False,9,NO,18°C,paper_micro_strict_limit,,Will the highest temperature in Ankara be 22°C on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
Seoul,April 27,RKSI,16,YES,16,C,exact,0.279,0.14,0.1699,0.139,True,6,NO,15°C,paper_micro_strict_limit,,Will the highest temperature in Seoul be 16°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
Munich,April 26,EDDM,20,NO,19,C,exact,0.7815,0.65,0.6508,0.1315,False,11,NO,16°C,paper_micro_strict_limit,,Will the highest temperature in Munich be 19°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026
Beijing,April 26,ZBAA,26,YES,27,C,exact,0.2185,0.09,0.1058,0.1285,False,8,NO,22°C,paper_micro_strict_limit,,Will the highest temperature in Beijing be 27°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
Shanghai,April 27,ZSPD,26,YES,25,C,exact,0.2185,0.09,0.1506,0.1285,False,3,NO,24°C,paper_micro_strict_limit,,Will the highest temperature in Shanghai be 25°C on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026
Ankara,April 26,LTAC,21,YES,23,C,higher,0.142,0.019,0.0356,0.123,False,9,NO,18°C,paper_micro_strict_limit,,Will the highest temperature in Ankara be 23°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
Ankara,April 26,LTAC,21,NO,20,C,exact,0.7815,0.7,0.7068,0.0815,True,9,NO,18°C,paper_micro_strict_limit,,Will the highest temperature in Ankara be 20°C on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
Beijing,April 26,ZBAA,26,NO,24,C,exact,0.8951,0.82,0.82,0.0751,True,8,NO,22°C,paper_micro_strict_limit,,Will the highest temperature in Beijing be 24°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026
Seoul,April 27,RKSI,16,NO,18,C,exact,0.8951,0.78,0.78,0.1151,False,6,NO,15°C,watch_source_book,,Will the highest temperature in Seoul be 18°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026
