bucket,rank,handle,wallet,x_username,pnl,volume,roi_pct,class,active_weather,recent_weather,active_nonweather,recent_nonweather,score,profile,sample_weather_titles
LIVE_CORE,59,xX25Xx,0x2a353ce9e57a51e65814d2fe7cdd4ad3f20741ce,,18841.23,93610.22,20.13,weather specialist / weather-heavy,81,114,0,51,261.0,https://polymarket.com/profile/0x2a353ce9e57a51e65814d2fe7cdd4ad3f20741ce,Will the highest temperature in Seattle be between 42-43°F on March 5? | Will the highest temperature in Seattle be between 44-45°F on March 5? | Will the highest temperature in Seattle be between 40-41°F on March 5? | Will the highest temperature in Seattle be 39°F or below on March 5? | Will the highest temperature in Seoul be -1°C or below on March 6? | Will the highest temperature in Seoul be 0°C on March 6? | Will the highest temperature in Buenos Aires be 41°C or higher on March 4? | Will the highest temperature in Buenos Aires be 37°C on March 4?
LIVE_CORE,3,ColdMath,0x594edb9112f526fa6a80b8f858a6379c8a2c1c11,,121302.21,8832029.43,1.37,weather specialist / weather-heavy,97,192,1,0,257.9,https://polymarket.com/profile/0x594edb9112f526fa6a80b8f858a6379c8a2c1c11,Will the highest temperature in Cape Town be 16°C on April 20? | Will the highest temperature in Ankara be 10°C or higher on March 1? | Will the highest temperature in Wellington be 21°C or higher on February 28? | Will the highest temperature in London be 11°C on April 14? | Will the highest temperature in Ankara be 13°C or higher on March 21? | Will the highest temperature in Lucknow be 35°C on March 5? | Will the highest temperature in Ankara be 7°C on February 26? | Will the highest temperature in Ankara be 8°C or higher on February 26?
LIVE_CORE,56,syacxxa,0x2b2866a724e73bf45af306036f12f20170b4d021,,19511.69,475869.55,4.1,weather specialist / weather-heavy,100,199,0,0,250.4,https://polymarket.com/profile/0x2b2866a724e73bf45af306036f12f20170b4d021,Will the highest temperature in Buenos Aires be 30°C or below on January 30? | Will the highest temperature in London be 14°C on March 19? | Will the highest temperature in London be 25°C or higher on April 9? | Will the highest temperature in London be 11°C on April 20? | Will the highest temperature in London be 24°C on April 9? | Will the highest temperature in New York City be 64°F or higher on March 16? | Will the highest temperature in London be 16°C on March 18? | Will the highest temperature in Paris be 15°C on March 6?
LIVE_CORE,72,0xhana,0xa37d1d1a3367c6ebc692e37c29bccb8bb015b2b4,,15798.98,321617.19,4.91,weather specialist / weather-heavy,100,197,0,0,250.0,https://polymarket.com/profile/0xa37d1d1a3367c6ebc692e37c29bccb8bb015b2b4,Will the highest temperature in Miami be between 82-83°F on March 6? | Will the highest temperature in New York City be between 34-35°F on February 23? | Will the highest temperature in New York City be between 40-41°F on February 15? | Will the highest temperature in New York City be between 46-47°F on February 21? | Will the highest temperature in Miami be between 78-79°F on February 15? | Will the highest temperature in New York City be between 38-39°F on March 1? | Will the highest temperature in Miami be between 84-85°F on March 12? | Will the highest temperature in New York City be between 52-53°F on March 20?
LIVE_CORE,19,Maskache2,0x1f66796b45581868376365aef54b51eb84184c8d,Mask4che,49973.43,4620632.97,1.08,weather specialist / weather-heavy,96,198,2,0,249.4,https://polymarket.com/profile/0x1f66796b45581868376365aef54b51eb84184c8d,Will the highest temperature in Hong Kong be 29°C or higher on April 5? | Will the highest temperature in Moscow be 11°C on March 30? | Will the highest temperature in Atlanta be between 62-63°F on April 6? | Will the highest temperature in Tokyo be 19°C on April 11? | Will the highest temperature in Seoul be 20°C on April 15? | Will the highest temperature in Hong Kong be 28°C on April 5? | Will the highest temperature in Seoul be 10°C on April 5? | Will the highest temperature in Seoul be 16°C or higher on March 26?
LIVE_CORE,42,Railbird,0x906f2454a777600aea6c506247566decef82371a,,23358.41,797165.7,2.93,weather specialist / weather-heavy,100,199,0,0,249.2,https://polymarket.com/profile/0x906f2454a777600aea6c506247566decef82371a,Will the highest temperature in Seoul be 12°C on April 11? | Will the highest temperature in London be 20°C on April 25? | Will the highest temperature in Wellington be 16°C on April 19? | Will the highest temperature in London be 19°C on April 25? | Will the highest temperature in Paris be 22°C on April 18? | Will the highest temperature in Houston be between 70-71°F on April 19? | Will the highest temperature in Shanghai be 21°C on April 19? | Will the highest temperature in Beijing be 27°C on April 18?
LIVE_CORE,132,Amano-Hina,0x8aa29c27241b6909a7c4d6cb4f400267aa215a0b,,8831.67,137310.31,6.43,weather specialist / weather-heavy,100,200,0,0,248.9,https://polymarket.com/profile/0x8aa29c27241b6909a7c4d6cb4f400267aa215a0b,Will the highest temperature in New York City be between 86-87°F on April 15? | Will the highest temperature in Miami be between 78-79°F on April 1? | Will the highest temperature in New York City be between 76-77°F on April 13? | Will the highest temperature in San Francisco be between 64-65°F on April 20? | Will the highest temperature in Austin be between 88-89°F on April 17? | Will the highest temperature in New York City be between 78-79°F on April 1? | Will the highest temperature in New York City be between 62-63°F on April 24? | Will the highest temperature in San Francisco be between 60-61°F on April 11?
LIVE_CORE,78,mjf02,0x5ea284bb13db26c76529a944e6bf9497c8c5e97f,,14775.84,698335.84,2.12,weather specialist / weather-heavy,99,198,1,0,242.0,https://polymarket.com/profile/0x5ea284bb13db26c76529a944e6bf9497c8c5e97f,Will the highest temperature in Paris be 6°C or below on March 29? | Will the highest temperature in Munich be 2°C or below on March 29? | Will the highest temperature in London be 6°C or below on March 29? | Will the highest temperature in Seoul be 7°C on March 26? | Will the highest temperature in London be 16°C on March 9? | Will the highest temperature in London be 16°C on March 18? | Will the highest temperature in Seoul be 6°C or below on March 27? | Will the highest temperature in London be 17°C on March 9?
LIVE_CORE,41,dpnd,0x5f211a24da4c005d9438a1ea269673b85ed0b376,dpnd_poly,24134.16,8113002.18,0.3,weather specialist / weather-heavy,95,200,0,0,240.4,https://polymarket.com/profile/0x5f211a24da4c005d9438a1ea269673b85ed0b376,Will the highest temperature in Mexico City be 18°C on April 27? | Will the highest temperature in Mexico City be 19°C on April 27? | Will the highest temperature in Houston be between 76-77°F on April 25? | Will the highest temperature in Munich be 18°C on April 25? | Will the highest temperature in Mexico City be 20°C on April 27? | Will the highest temperature in Wuhan be 29°C on April 25? | Will the highest temperature in Mexico City be 21°C on April 27? | Will the highest temperature in Mexico City be 22°C on April 27?
LIVE_CORE,109,kamikazetrading,0xf1f81d40ae910099e1a65addb54942e76ca0f4cb,gomarcano9,10869.73,332560.32,3.27,weather specialist / weather-heavy,96,196,1,0,239.9,https://polymarket.com/profile/0xf1f81d40ae910099e1a65addb54942e76ca0f4cb,Will the lowest temperature in New York City be between 42-43°F on April 23? | Will the lowest temperature in New York City be between 40-41°F on April 23? | Will the highest temperature in San Francisco be between 66-67°F on April 22? | Will the highest temperature in New York City be between 56-57°F on April 22? | Will the highest temperature in Atlanta be between 78-79°F on April 20? | Will the highest temperature in Seoul be 22°C on April 13? | Will the highest temperature in Seoul be 23°C or higher on April 13? | Will the highest temperature in New York City be between 60-61°F on April 24?
