city,date,event_id,market_id,label,source_status,tradability,yes_best_ask,yes_20_avg,no_best_ask,no_20_avg,volume,liquidity,unique_accounts,signal_count,top_handles,operator_note,question,resolutionSource
Shanghai,April 26,411991,2065031,20C,source_ok,ok,0.019,0.0234,0.991,0.991,9271.329455999989,2409.46512,20,93,tinylonglong | StayFreshCheeseBags | PaulaLolik | hgmr2 | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210,source+book ready for station/model check,Will the highest temperature in Shanghai be 20°C on April 26?,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD
Shanghai,April 26,411991,2065032,21C,source_ok,ok,0.066,0.0743,0.935,0.935,8729.521220000006,2124.59131,20,93,tinylonglong | StayFreshCheeseBags | PaulaLolik | hgmr2 | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210,source+book ready for station/model check,Will the highest temperature in Shanghai be 21°C on April 26?,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD
Shanghai,April 26,411991,2065033,22C,source_ok,ok,0.35,0.35,0.66,0.66,5803.697221,1946.556,20,93,tinylonglong | StayFreshCheeseBags | PaulaLolik | hgmr2 | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210,source+book ready for station/model check,Will the highest temperature in Shanghai be 22°C on April 26?,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD
Shanghai,April 26,411991,2065037,26C,source_ok,ok,0.012,0.0196,0.989,0.9898,5461.233203999999,2172.53476,20,93,tinylonglong | StayFreshCheeseBags | PaulaLolik | hgmr2 | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210,source+book ready for station/model check,Will the highest temperature in Shanghai be 26°C on April 26?,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD
Shanghai,April 26,411991,2065034,23C,source_ok,ok,0.38,0.3824,0.63,0.63,4505.909907,1461.5851,20,93,tinylonglong | StayFreshCheeseBags | PaulaLolik | hgmr2 | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210,source+book ready for station/model check,Will the highest temperature in Shanghai be 23°C on April 26?,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD
Shanghai,April 26,411991,2065035,24C,source_ok,ok,0.17,0.17,0.87,0.87,3848.4226590000017,1479.5344,20,93,tinylonglong | StayFreshCheeseBags | PaulaLolik | hgmr2 | 0xeC86a2d3f69015b1A9382e4dfA8695E1B48760E4-1770735132210,source+book ready for station/model check,Will the highest temperature in Shanghai be 24°C on April 26?,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD
Tokyo,April 26,411989,2065013,19C,source_ok,ok,0.26,0.2673,0.78,0.78,3982.8639250000047,1419.2492,21,88,hgmr2 | Railbird | StayFreshCheeseBags | PaulaLolik | jeffkatsu,source+book ready for station/model check,Will the highest temperature in Tokyo be 19°C on April 26?,https://www.wunderground.com/history/daily/jp/tokyo/RJTT
Tokyo,April 26,411989,2065009,15C,source_ok,ok,0.001,0.0027,,,3844.7513029999986,4362.16046,21,88,hgmr2 | Railbird | StayFreshCheeseBags | PaulaLolik | jeffkatsu,source+book ready for station/model check,Will the highest temperature in Tokyo be 15°C on April 26?,https://www.wunderground.com/history/daily/jp/tokyo/RJTT
Tokyo,April 26,411989,2065012,18C,source_ok,ok,0.023,0.0245,0.985,0.985,3440.189106000001,1380.63094,21,88,hgmr2 | Railbird | StayFreshCheeseBags | PaulaLolik | jeffkatsu,source+book ready for station/model check,Will the highest temperature in Tokyo be 18°C on April 26?,https://www.wunderground.com/history/daily/jp/tokyo/RJTT
Tokyo,April 26,411989,2065014,20C,source_ok,ok,0.48,0.48,0.56,0.56,2798.6072680000016,860.6458,21,88,hgmr2 | Railbird | StayFreshCheeseBags | PaulaLolik | jeffkatsu,source+book ready for station/model check,Will the highest temperature in Tokyo be 20°C on April 26?,https://www.wunderground.com/history/daily/jp/tokyo/RJTT
Tokyo,April 26,411989,2065016,22C,source_ok,ok,0.045,0.061,0.964,0.9663,2767.1545230000006,1238.1507,21,88,hgmr2 | Railbird | StayFreshCheeseBags | PaulaLolik | jeffkatsu,source+book ready for station/model check,Will the highest temperature in Tokyo be 22°C on April 26?,https://www.wunderground.com/history/daily/jp/tokyo/RJTT
