robust_candidate,city,date,station,side,temp,unit,kind,forecast_max_c,p_side,best_bid,best_ask,edge_vs_ask,stress_good,stress_total,stress_worst_edge,stress_median_edge,volume,liquidity,question,url
False,Buenos Aires,April 27,SAEZ,YES,18,C,higher,17,0.3605,0.12,0.16,0.2005,10,15,-0.1538,0.2005,4786.294698000001,34550.27875,Will the highest temperature in Buenos Aires be 18°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-buenos-aires-on-april-27-2026
False,Austin,April 27,KAUS,NO,92,F,higher,33,0.5158,0.24,0.36,0.1558,9,15,-0.3341,0.1558,14147.522092,53641.5008,Will the highest temperature in Austin be 92°F or higher on April 27?,https://polymarket.com/event/highest-temperature-in-austin-on-april-27-2026
False,Chicago,April 25,KORD,YES,62,F,higher,15,0.1606,0.012,0.02,0.1406,12,15,-0.0196,0.1406,88618.94887699997,10640.26323,Will the highest temperature in Chicago be 62°F or higher on April 25?,https://polymarket.com/event/highest-temperature-in-chicago-on-april-25-2026
False,Chengdu,April 26,ZUUU,NO,26,C,higher,26,0.3605,0.19,0.22,0.1405,10,15,-0.2138,0.1405,15336.885579,71498.31727,Will the highest temperature in Chengdu be 26°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-chengdu-on-april-26-2026
False,Milan,April 27,LIMC,YES,26,C,higher,26,0.6395,0.47,0.5,0.1395,9,15,-0.4332,0.1395,4893.274649999999,42351.65705,Will the highest temperature in Milan be 26°C or higher on April 27?,https://polymarket.com/event/highest-temperature-in-milan-on-april-27-2026
False,Karachi,April 26,OPKC,NO,37,C,higher,36,0.6395,0.46,0.5,0.1395,9,15,-0.4332,0.1395,8147.024672999999,22763.36695,Will the highest temperature in Karachi be 37°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-karachi-on-april-26-2026
False,Milan,April 26,LIMC,YES,29,C,higher,27,0.142,0.007,0.009,0.133,12,15,-0.0088,0.133,17215.479558999996,53221.59055,Will the highest temperature in Milan be 29°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-milan-on-april-26-2026
False,Toronto,April 25,CYYZ,YES,11,C,higher,9,0.142,0.008,0.01,0.132,12,15,-0.0098,0.132,25374.762183000006,3063.74157,Will the highest temperature in Toronto be 11°C or higher on April 25?,https://polymarket.com/event/highest-temperature-in-toronto-on-april-25-2026
False,Paris,April 26,LFPB,YES,25,C,higher,23,0.142,0.009,0.018,0.124,12,15,-0.0178,0.124,21814.497463999996,58874.96376,Will the highest temperature in Paris be 25°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-paris-on-april-26-2026
False,Ankara,April 26,LTAC,YES,23,C,higher,21,0.142,0.01,0.02,0.122,12,15,-0.0198,0.122,16156.203737999998,51351.78456,Will the highest temperature in Ankara be 23°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026
