recommendation,city,date,label,best_side,best_ask,best_bid,best_edge,proxy_p_yes,proxy_p_no,source_status,unique_accounts,signal_rows,score,market_id,question,resolutionSource
paper_micro_strict_limit,Warsaw,April 26,11C,NO,0.55,0.54,0.1839,0.2661,0.7339,weathercom_station_ok,6,17,142.71,2065080,Will the highest temperature in Warsaw be 11°C on April 26?,https://www.wunderground.com/history/daily/pl/warsaw/EPWA
watch_or_tiny_paper,Munich,April 26,19C,NO,0.61,0.58,0.1715,0.2185,0.7815,weathercom_station_ok,10,23,232.31,2064993,Will the highest temperature in Munich be 19°C on April 26?,https://www.wunderground.com/history/daily/de/munich/EDDM
watch_or_tiny_paper,Shanghai,April 26,23C,NO,0.62,0.61,0.1395,0.2405,0.7595,weathercom_station_ok,6,9,132.55,2065034,Will the highest temperature in Shanghai be 23°C on April 26?,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD
watch_or_tiny_paper,Seoul,April 26,19C,NO,0.74,0.68,0.1314,0.1286,0.8714,weathercom_station_ok,6,17,142.3,2064873,Will the highest temperature in Seoul be 19°C on April 26?,https://www.wunderground.com/history/daily/kr/incheon/RKSI
watch_or_tiny_paper,Shanghai,April 26,21C,YES,0.074,0.064,0.1199,0.1939,0.8061,weathercom_station_ok,9,13,214.57,2065032,Will the highest temperature in Shanghai be 21°C on April 26?,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD
watch_or_tiny_paper,Lucknow,April 26,44C,YES,0.09,0.06,0.1039,0.1939,0.8061,weathercom_station_ok,6,8,133.76,2064977,Will the highest temperature in Lucknow be 44°C on April 26?,https://www.wunderground.com/history/daily/in/lucknow/VILK
watch_only,Shanghai,April 26,20C,YES,0.008,0.007,0.0756,0.0836,0.9164,weathercom_station_ok,6,7,144.98,2065031,Will the highest temperature in Shanghai be 20°C on April 26?,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD
watch_only,Milan,April 26,26C,NO,0.68,0.62,0.07,0.25,0.75,weathercom_station_ok,6,17,144.83,2065058,Will the highest temperature in Milan be 26°C on April 26?,https://www.wunderground.com/history/daily/it/milan/LIMC
watch_only,Tokyo,April 26,19C,NO,0.78,0.73,0.0661,0.1539,0.8461,weathercom_station_ok,7,12,157.34,2065013,Will the highest temperature in Tokyo be 19°C on April 26?,https://www.wunderground.com/history/daily/jp/tokyo/RJTT
watch_only,Shanghai,April 26,22C,NO,0.66,0.65,0.0643,0.2757,0.7243,weathercom_station_ok,7,12,157.48,2065033,Will the highest temperature in Shanghai be 22°C on April 26?,https://www.wunderground.com/history/daily/cn/shanghai/ZSPD
watch_only,Wellington,April 26,15C,YES,0.02,0.01,0.0636,0.0836,0.9164,weathercom_station_ok,6,9,133.59,2064967,Will the highest temperature in Wellington be 15°C on April 26?,https://www.wunderground.com/history/daily/nz/wellington/NZWN
watch_only,Dallas,April 26,86F or higher,NO,0.1,0.05,0.0608,0.8392,0.1608,weathercom_station_ok,7,25,174.71,2064918,Will the highest temperature in Dallas be 86°F or higher on April 26?,https://www.wunderground.com/history/daily/us/tx/dallas/KDAL
watch_only,Beijing,April 26,26C,NO,0.69,0.67,0.0439,0.2661,0.7339,weathercom_station_ok,6,10,133.14,2065112,Will the highest temperature in Beijing be 26°C on April 26?,https://www.wunderground.com/history/daily/cn/beijing/ZBAA
watch_only,Ankara,April 26,20C,NO,0.76,0.75,0.0335,0.2065,0.7935,weathercom_station_ok,6,12,136.61,2064959,Will the highest temperature in Ankara be 20°C on April 26?,https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC
watch_only,Wuhan,April 26,28C,YES,0.08,0.07,0.0249,0.1049,0.8951,weathercom_station_ok,6,9,133.98,2065120,Will the highest temperature in Wuhan be 28°C on April 26?,https://www.wunderground.com/history/daily/cn/wuhan/ZHHH
watch_only,Ankara,April 26,19C,YES,0.07,0.04,0.0239,0.0939,0.9061,weathercom_station_ok,6,12,137.27,2064958,Will the highest temperature in Ankara be 19°C on April 26?,https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC
watch_only,Beijing,April 26,24C,NO,0.83,0.82,0.0161,0.1539,0.8461,weathercom_station_ok,7,12,156.16,2065110,Will the highest temperature in Beijing be 24°C on April 26?,https://www.wunderground.com/history/daily/cn/beijing/ZBAA
watch_only,Guangzhou,April 26,29C,YES,0.08,0.031,0.0139,0.0939,0.9061,weathercom_station_ok,6,7,133.58,2065340,Will the highest temperature in Guangzhou be 29°C on April 26?,https://www.wunderground.com/history/daily/cn/guangzhou/ZGGG
watch_only,Ankara,April 26,18C,YES,0.019,0.01,0.0072,0.0262,0.9738,weathercom_station_ok,7,10,156.3,2064957,Will the highest temperature in Ankara be 18°C on April 26?,https://www.wunderground.com/history/daily/tr/%C3%A7ubuk/LTAC
watch_only,London,April 26,17C,YES,0.11,0.1,0.0065,0.1165,0.8835,weathercom_station_ok,7,13,158.0,2064825,Will the highest temperature in London be 17°C on April 26?,https://www.wunderground.com/history/daily/gb/london/EGLC
watch_only,Munich,April 26,17C,NO,0.968,0.93,0.0011,0.0309,0.9691,weathercom_station_ok,6,9,137.23,2064991,Will the highest temperature in Munich be 17°C on April 26?,https://www.wunderground.com/history/daily/de/munich/EDDM
confirm_source_first,Moscow,April 26,13C,YES,0.03,0.01,,,,missing_source,6,9,173.58,2065211,Will the highest temperature in Moscow be 13°C on April 26?,
confirm_source_first,Tel Aviv,April 26,28C,YES,0.28,0.24,,,,missing_source,6,15,140.17,2065003,Will the highest temperature in Tel Aviv be 28°C on April 26?,
confirm_source_first,Tel Aviv,April 26,27C,YES,0.44,0.4,,,,missing_source,6,12,136.66,2065002,Will the highest temperature in Tel Aviv be 27°C on April 26?,
confirm_source_first,Moscow,April 26,11C,YES,0.28,0.12,,,,missing_source,6,8,131.8,2065209,Will the highest temperature in Moscow be 11°C on April 26?,
confirm_source_first,Hong Kong,April 26,28C,YES,0.55,0.52,,,,missing_source,6,9,131.79,2065026,Will the highest temperature in Hong Kong be 28°C on April 26?,
