recommendation,city,date,station,station_forecast_max_c,label,best_side,best_edge_topask,proxy_p_yes,yes_best_ask,yes_20_avg,proxy_p_no,no_best_ask,no_20_avg,unique_accounts,signal_count,question
paper_micro_no_strict_limit,Seoul,April 26,RKSI,17.22,20C or higher,NO,0.6783,0.0517,0.75,0.75,0.9483,0.27,0.2803,17,85,Will the highest temperature in Seoul be 20°C or higher on April 26?
paper_micro_yes_strict_limit,Seoul,April 26,RKSI,17.22,17C,YES,0.2687,0.2757,0.007,0.0094,0.7243,0.995,0.995,17,85,Will the highest temperature in Seoul be 17°C on April 26?
paper_micro_no_strict_limit,London,April 26,EGLC,18.89,18C,NO,0.2401,0.2299,0.5,0.5245,0.7701,0.53,0.53,20,75,Will the highest temperature in London be 18°C on April 26?
paper_micro_no_strict_limit,Singapore,April 26,WSSS,31.67,33C,NO,0.1989,0.1811,0.43,0.4367,0.8189,0.62,0.62,17,63,Will the highest temperature in Singapore be 33°C on April 26?
paper_micro_yes_strict_limit,Munich,April 26,EDDM,19.44,21C or higher,YES,0.1955,0.2245,0.029,0.0397,0.7755,0.984,0.9841,20,71,Will the highest temperature in Munich be 21°C or higher on April 26?
paper_micro_yes_strict_limit,Seoul,April 26,RKSI,17.22,16C,YES,0.1919,0.1939,0.002,0.0091,0.8061,0.999,0.999,17,85,Will the highest temperature in Seoul be 16°C on April 26?
paper_micro_yes_strict_limit,Seoul,April 26,RKSI,17.22,18C,YES,0.1805,0.2405,0.06,0.06,0.7595,0.944,0.944,17,85,Will the highest temperature in Seoul be 18°C on April 26?
paper_micro_yes_strict_limit,London,April 26,EGLC,18.89,20C,YES,0.1665,0.2065,0.04,0.0558,0.7935,0.964,0.964,20,75,Will the highest temperature in London be 20°C on April 26?
paper_micro_no_strict_limit,Wellington,April 26,NZWN,17.22,17C,NO,0.1643,0.2757,0.47,0.4798,0.7243,0.56,0.56,17,69,Will the highest temperature in Wellington be 17°C on April 26?
paper_micro_no_strict_limit,Tokyo,April 26,RJTT,20.0,20C,NO,0.161,0.279,0.48,0.48,0.721,0.56,0.56,21,88,Will the highest temperature in Tokyo be 20°C on April 26?
paper_micro_no_strict_limit,Munich,April 26,EDDM,19.44,18C,NO,0.1519,0.1681,0.38,0.4289,0.8319,0.68,0.68,20,71,Will the highest temperature in Munich be 18°C on April 26?
