ticket_status,city,date,station,station_forecast_max_c,side,temp,unit,kind,station_prob,ask,refreshed_edge_topask,paper_size_usdc,strict_limit_price_max,accounts,consensus_side,consensus_top_temp,model_vs_account_divergence,risk_flags,rough_expected_value_usdc_at_limit,question,url,surface_token_id
paper_candidate,Seoul,April 26,RKSI,18,NO,20,C,higher,0.858,0.28,0.588,20,0.2806,10,NO,17°C,False,,41.15,Will the highest temperature in Seoul be 20°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026,91957229395369621297773625284494208648929631998027248969309772006646049706563
paper_candidate,London,April 26,EGLC,18,NO,18,C,exact,0.721,0.54,0.211,10,0.5159,11,NO,20°C,False,,3.98,Will the highest temperature in London be 18°C on April 26?,https://polymarket.com/event/highest-temperature-in-london-on-april-26-2026,86201645240616743636278318700292119246044778630063242375624602773072724159720
paper_candidate,Munich,April 26,EDDM,20,NO,18,C,exact,0.8951,0.71,0.1851,10,0.71,11,NO,16°C,False,,2.61,Will the highest temperature in Munich be 18°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026,12122639968770369125729645644048901611737971417299776708496745927294914393945
paper_candidate,Beijing,April 26,ZBAA,26,NO,25,C,exact,0.7815,0.61,0.1615,10,0.62,8,NO,22°C,False,,2.6,Will the highest temperature in Beijing be 25°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026,11804186718096027197244305944429420505649160948011436447515100751033693919285
paper_candidate,Seoul,April 27,RKSI,16,NO,19,C,exact,0.9691,0.82,0.1491,5,0.82,6,NO,15°C,False,,0.91,Will the highest temperature in Seoul be 19°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026,2734890257312417104412736033227441402813067293679395829390482776871857286705
paper_candidate,Shanghai,April 26,ZSPD,22,NO,23,C,exact,0.7815,0.64,0.1415,5,0.6405,10,NO,21°C,False,,1.1,Will the highest temperature in Shanghai be 23°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026,48340356564425638651690254632757217368774937619888753654873518473493102243100
paper_candidate,Munich,April 26,EDDM,20,NO,19,C,exact,0.7815,0.65,0.1315,5,0.65,11,NO,16°C,False,,1.01,Will the highest temperature in Munich be 19°C on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026,65150415710178668225912755798958866377138776739873410802848539258219208306639
paper_candidate,Beijing,April 26,ZBAA,26,NO,24,C,exact,0.8951,0.82,0.0751,2,0.82,8,NO,22°C,False,,0.18,Will the highest temperature in Beijing be 24°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026,4864927800095115501030477288289563032876018053782458052106292952392293746694
paper_candidate,Ankara,April 26,LTAC,21,NO,20,C,exact,0.7815,0.7,0.0715,5,0.71,9,NO,18°C,False,,,Will the highest temperature in Ankara be 20°C on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026,9092204264779497961204195975468359635460688757898499452757153367539775598410
paper_candidate,Munich,April 26,EDDM,20,YES,21,C,higher,0.3605,0.029,0.3315,10,0.0321,11,NO,16°C,True,model_vs_profitable_account_consensus_side_divergence,,Will the highest temperature in Munich be 21°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-munich-on-april-26-2026,92654170894552480246476489171915029658236400796381532853970419469817870308787
paper_candidate,Seoul,April 26,RKSI,18,YES,18,C,exact,0.279,0.067,0.212,10,0.0689,10,NO,17°C,True,model_vs_profitable_account_consensus_side_divergence,,Will the highest temperature in Seoul be 18°C on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026,44808672874211816419857932779193354973451599107976105755207697326929106602617
paper_candidate,Seoul,April 26,RKSI,18,YES,17,C,exact,0.2185,0.011,0.2075,10,0.0185,10,NO,17°C,True,model_vs_profitable_account_consensus_side_divergence,,Will the highest temperature in Seoul be 17°C on April 26?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-26-2026,22854814572263858660053569412788165010989829225434630102842561947207147524718
paper_candidate,Seoul,April 27,RKSI,16,YES,15,C,exact,0.2185,0.029,0.1895,10,0.0321,6,NO,15°C,True,model_vs_profitable_account_consensus_side_divergence,,Will the highest temperature in Seoul be 15°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026,77193369447072417248211597892446587902618027790112243776154066071567108741195
paper_candidate,Shanghai,April 26,ZSPD,22,YES,21,C,exact,0.2185,0.047,0.1715,10,0.0674,10,NO,21°C,True,model_vs_profitable_account_consensus_side_divergence,,Will the highest temperature in Shanghai be 21°C on April 26?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-26-2026,12831021511186173169760771467704558297855560104655134100790042154273917383333
paper_candidate,Ankara,April 26,LTAC,21,YES,22,C,exact,0.2185,0.079,0.1395,5,0.0797,9,NO,18°C,True,model_vs_profitable_account_consensus_side_divergence,,Will the highest temperature in Ankara be 22°C on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026,67338958523653579253689193942986988601691068285148088223733659546373254060660
paper_candidate,Seoul,April 27,RKSI,16,YES,16,C,exact,0.279,0.14,0.139,5,0.14,6,NO,15°C,True,model_vs_profitable_account_consensus_side_divergence,,Will the highest temperature in Seoul be 16°C on April 27?,https://polymarket.com/event/highest-temperature-in-seoul-on-april-27-2026,43949357786255439915821960148009281732068485537512261934960469052508361169500
paper_candidate,Beijing,April 26,ZBAA,26,YES,27,C,exact,0.2185,0.09,0.1285,5,0.0931,8,NO,22°C,True,model_vs_profitable_account_consensus_side_divergence,,Will the highest temperature in Beijing be 27°C on April 26?,https://polymarket.com/event/highest-temperature-in-beijing-on-april-26-2026,56449330353739597520621118856865814579452059150593406119050289922178602820620
paper_candidate,Shanghai,April 27,ZSPD,26,YES,25,C,exact,0.2185,0.09,0.1285,5,0.1101,3,NO,24°C,True,model_vs_profitable_account_consensus_side_divergence,,Will the highest temperature in Shanghai be 25°C on April 27?,https://polymarket.com/event/highest-temperature-in-shanghai-on-april-27-2026,112488790484036557611375333201989154245011805827094063228518326662219804199289
paper_candidate,Ankara,April 26,LTAC,21,YES,23,C,higher,0.142,0.019,0.123,5,0.0235,9,NO,18°C,True,model_vs_profitable_account_consensus_side_divergence,,Will the highest temperature in Ankara be 23°C or higher on April 26?,https://polymarket.com/event/highest-temperature-in-ankara-on-april-26-2026,90507397181594332632048157290504472850467842187912200403163298789047319071689
